reference,doi,website_report,full_reference,id
"Skinner 1965","","","Skinner, W.H. (1965) History of Okato. In: Anon, 1965. History and Reminscences of Okato, Part I: 1865 – 1965 Jubilee Publication, pp7-17.","270"
"Skipper 2007","","","Skipper, A. (2007) Unpublished Email to  J Goff entitled ""Manakau Harbour"", Apanui Skipper, Hamilton, 1pp. (Received 180507).","271"
"Smart & Green 1962","","","Smart, C.D. and Green, R.C. (1962) A stratified dune site at Tairua, Coromandel. Dominion Museum Records in Ethnology, 1, 243-266.","272"
"Smith 1896","","","Smith, S.P. (1896) The Peopling of the North: Notes on the ancient Maori history of the Northern Peninsula and sketches of the history of Ngati-Whatua tribe of the Kaipara, New Zealand. Supplement to Journal of the Polynesian Society, 6.","273"
"Smith 1908","","","Smith, S.P. (1908) History and traditions of the Taranaki coast: chapter IX. J. Polynesian Society. 17, 111–148.","274"
"Smith 1910","","https://archive.org/details/historytradition00smit","Smith, S.P. (1910) History and traditions of the Maoris of the West Coast North Island of New Zealand prior to 1840. Memoirs of the Polynesian Society, 1, 562pp.","275"
"Smith 1997","","","Smith, I. (1997) Settlement permanence and function at Pleasant River mouth, E. Otago, NZ. New Zealand Journal of Archaeology, 19, 27-79.","276"
"Speight 1930","","","Speight, R. (1930) The Lake Ellesmere Spit. Transactions of the Royal Society of New Zealand. 61, 147-168.","277"
"SpringRice 1980","","http://www.thebookshelf.auckland.ac.nz/docs/Tane/Tane-26/14%20Fanal%20Island%20%28Motukino%29%20archaeological%20survey.pdf","Spring-Rice, W. (1980) Fanal Island (Motukino) archaeological survey and historical account. Tane, 26, 99-105.","278"
"Stack 1877","","http://rsnz.natlib.govt.nz/volume/rsnz_10/rsnz_10_00_000530.html","Stack, J.W. (1877) Sketch of the Traditional History of the South Island Maoris. Transactions and Proceedings of the New Zealand Institute, 10, 57-92.","279"
"Swabey 2007","","","Swabey, S. (2007)  Unpublished Email to  J Goff entitled ""Uruti Point"", Stephen Swabey, Dunedin, 1pp. (Received 230807).","280"
"Taylor 1855","","https://archive.org/details/teikaamauiornew01taylgoog","Taylor, R. 1855. Te Ika A Maui. New Zealand and its Inhabitants. Wetheim and MacIntosh, London.","281"
"Taylor 1862","","","Taylor, R. 1862. The Geology of New Zealand. Chapmans New Zealand Monthly Magazine, October 1862, 176-185.","282"
"Te Whetu","","","Te Whetu (1953) Te Ao Hou. The New World. How Ngarara-Huarau was killed. 15-20.","283"
"Thomson 1870","","http://rsnz.natlib.govt.nz/volume/rsnz_03/rsnz_03_00_004430.html","Thomson, P. (1870) On the sand hills, or dunes, in the neighbourhood of Dunedin. Transactions and Proceedings of the New Zealand Institute, III, 263-269.","284"
"Thorne 1875","","http://rsnz.natlib.govt.nz/volume/rsnz_08/rsnz_08_00_000500.html","Thorne, G. (1875) Notes on the discovery of Moa and Moa-hunters’ remains at Pataua River, near Whangarei. Transactions of the New Zealand Institute, 8, 83-94.","285"
"Travers 1869","","http://rsnz.natlib.govt.nz/volume/rsnz_02/rsnz_02_00_003100.html","Travers, W.T.L. (1869) On the sand-worn stones of Evans’ Bay. Transactions and Proceedings of the New Zealand Institute, II, 247-248.","286"
"Trotter & McCulloch 1979","","","Trotter, M.M. and McCulloch, B. (1979) Prehistory at Clarence Bridge. Kaikoura Coastal Reserves Board and Canterbury Museum, 22pp.","287"
"Trotter 1967","","","Trotter, M.M. (1967) Excavations at Katiki Point, North Otago. Records of the Canterbury Museum, VIII, 231-245.","288"
"Turner 2000","","","Turner, M.T. (2000) The Function, Design and Distribution of New Zealand adzes. Unpublished PhD, University of Auckland, New Zealand. 506 pp.","289"
"Walters and Goff 2003","","http://www.wcrc.govt.nz/Documents/Natural%20Hazard%20Reports/Assessing%20Tsunami%20Haz%20NZ%20Coast%20Walters%20Goff.pdf","Walters, R. and Goff, J.R. (2003) Assessing tsunami hazard on the New Zealand coast. Science of Tsunami Hazards, 21, 137-153.","290"
"Walters et al 2003","","","Walters, R., Lewis, K., Barnes, P., Duncan, M., Shankar, U., Wild, M. and Goff, J. (2003). Kaikoura District Engineering Lifelines Project: Tsunami Hazard Assessment (Part 1) NIWA Report:  CHC2003, 102pp.","291"
"Walton and McFadgen 1990","","","Walton, A. and McFadgen, B.G. (1990) An archaeological survey of Motiti Island, Bay of Plenty. Department of Conservation report. 4pp + Site records.","292"
"Weisler 2000","","","Weisler, M. I. (2000) Excavations at Shag Point (J43/11) North Otago: A Summary Report. Archaeology in New Zealand. 43, 220-229.","293"
"Wellman & Wilson 1964","10.1080/00288306.1964.10428126","","Wellman, H. W. and Wilson, A. T. (1964) Notes on the geology and archaeology of the Martins Bay district. New Zealand journal of geology and geophysics, 7, 702-721.","294"
"Wellman 1962a","","","Wellman, H.W. (1962a) Holocene of the North Island of New Zealand: a coastal reconnaissance. Transactions of the Royal Society of New Zealand, 1, 29-99.","295"
"Wellman 1962b","","","Wellman, H.W. (1962b) Maori occupation layers at D’Urville Island, New Zealand. New Zealand Journal of Geology & Geophysics, 5, 55-73.","296"
"Wells & Goff 2007","10.1130/G23554A.1","","Wells, A. and Goff, J.R. (2007) Coastal dunes in Westland, New Zealand, provide a record of paleoseismic activity on the Alpine fault. Geology, 35, 731-734.","297"
"Wilkes 1994","","","Wilkes, O. (1994) Report on archaeological survey of King Country coastline 1992-1994. Unpublished report, 43pp, 4 Tables, 20 Figures, 29 Graphs, 6 Appendices.","298"
"Wilkes 1995","","","Wilkes, O. (1995) Site recording, site types, and site distribution on the King Country coastline. Archaeology in New Zealand, 38, 236-256.","299"
"Turner, I. pers. comm. November 2007","","","","300"
"McFadgen, B. pers. obs. C 1975","","","","301"
"Beattie 1994","","","","302"
"Best 1976","","","","303"
"Nevin, D. pers. comm. 2004","","","","304"
"Goff, J. pers. obs. 2003","","","","305"
"de Lange, W. pers. comm. 2002","","","","306"
"Goff, J. pers. obs. 1999","","","","307"
"McFadgen, B. pers. comm. April 2006","","","","308"
"Allingham, B. pers. comm. March 2007","","","","309"
"Goff, J. pers. obs. 2006","","","","310"
"Brassey, R. pers. comm. June 2000","","","","311"
"Tregear 1904","","","","312"
"McFadgen, B. pers. comm. March 2003","","","","313"
"Tau nd","","","","314"
"Stack 1877","","","","315"
"McFadgen, B. pers. comm. 2004","","","","316"
"Smith 1896","","","","317"
"Diamond and Hayward 1979","","","","318"
"Taylor 1870","","","","319"
"Kaikoura Historical Society 1998 in Walters et al 2003","","","","320"
"Sherrard 1966","","","","321"
"Beattie 1990","","","","322"
"Smith 1910","","","","323"
"Andrews, E. pers. comm. 1997","","","","324"
"Izett 1904","","","","325"
"Smith 2003","","","","326"
"Hulme, K. pers. comm. 2004","","","","327"
"Downes 1914","","","","328"
"Goff, J. unpublished data","","","","329"
"Orbell 1985","","","","330"
"McFadgen, B. pers. comm. 2006","","","","331"
"Clark et al 2015","","","Clark, K.J., Hayward, B.W., Cochran, U.A., Wallace, L.M., Power, W.L., Sabaa, A.T., 2015.  Evidence for past subduction earthquakes at a plate boundary with widespread upper plate faulting: southern Hikurangi margin, New Zealand. Bull. Seismol. Soc. Am. 105 (3), 1661–1690.","332"
"King et al 2017","10.1016/j.margeo.2017.05.001","","King, D.N., Goff, J., Chagué-Goff, C., McFadgen, B., Jacobsen, G., Gadd, P., Horrocks, M. 2017. Reciting the layers: Evidence for past tsunamis at Mataora - Wairau Lagoon, Aotearoa-New Zealand. Marine Geology.","333"
"Goff et al 2016","","","Goff, J., Goto, K., Chagué-Goff, C. and Watanabe, M. (2016) New Zealand’s most easterly palaeotsunami deposit provides supporting evidence for major regionwide event. Abstract ID NH41A-1772. AGU Fall Meeting, San Francisco, 12-16 December.","334"
"King et al 2018","10.5194/nhess-18-907-2018","","King, D.N., Shaw, W.S., Meihana, P. and Goff, J. (2018) Māori oral histories and the impact of tsunamis in Aotearoa-New Zealand. Natural Hazards and Earth System Sciences, 18, 907-919","335"
"Chagué et al 2020","10.1016/j.sedgeo.2020.105746","","Chagué, C., Cope, J., Kilroy, C., Jacobsen, G., Zawadzki, A., Wong, H. 2020. A 7300 year record of environmental changes in a coastal wetland (Moawhitu), New Zealand, and evidence for catastrophic overwash (tsunami?). Sedimentary Geology","336"
"King et al 2020","","https://www.cambridge.org/core/journals/quaternary-research/article/comparing-and-combining-ethnographic-records-with-active-maori-histories-to-provide-insights-on-tsunami-hazard/54FAB139AA9138CC1BFD30726419E9AD","King, D.N., Manawatu, M, Shaw, W.S. 2020. Comparing and combining ethnographic records with active Māori histories to provide insights on tsunami hazard. Quaternary Research, 95, 43-55","337"
"Pizer 2019","","","Pizer, C.O., 2019. Palaeotsunami deposits on the southern hikurangi margin: contributions from Lake Grassmere, Marlborough. Master’s thesis, Durham University, Durham, UK. 116 pp.","338"
